Date,Open,High,Low,Close,Adj Close,Volume
2022-10-07,47.514999,48.200001,47.310001,47.419998,45.515579,2345429
2022-10-10,47.099998,47.820000,47.044998,47.535000,45.625961,2130813
2022-10-11,47.380001,48.415001,47.255001,48.415001,46.470623,1846434
2022-10-12,48.575001,49.654999,48.465000,49.195000,47.219296,2945408
2022-10-13,49.044998,49.880001,48.540001,49.794998,47.795197,2456442
2022-10-14,49.794998,49.895000,48.820000,49.000000,47.032127,2431375
2022-10-17,48.805000,50.340000,48.619999,50.220001,48.203133,1569333
2022-10-18,50.500000,50.680000,49.650002,49.735001,47.737610,1826716
2022-10-19,49.939999,50.110001,49.400002,49.750000,47.752007,1593739
2022-10-20,49.549999,50.070000,49.014999,49.799999,47.799999,1649427
2022-10-21,49.529999,50.360001,49.130001,50.000000,47.991966,2516317
2022-10-24,50.189999,51.340000,50.070000,51.000000,48.951805,1678037
2022-10-25,51.849998,51.880001,50.540001,50.869999,48.827026,1733522
2022-10-26,50.910000,52.040001,50.869999,51.779999,49.700481,1766250
2022-10-27,51.630001,52.270000,51.610001,52.080002,49.988434,1653514
2022-10-28,51.750000,53.119999,51.750000,52.700001,50.583534,1793762
2022-10-31,52.860001,53.439999,52.700001,53.220001,51.082649,1294848
2022-11-01,53.849998,54.090000,53.470001,53.860001,51.696949,1462477
2022-11-02,54.009998,54.119999,53.160000,53.410000,51.265018,1476862
2022-11-03,53.150002,53.619999,52.470001,53.070000,50.938675,1458818
2022-11-04,53.400002,54.349998,53.150002,53.880001,51.716145,2096827
2022-11-07,53.779999,54.630001,53.599998,54.279999,52.100079,1850537
2022-11-08,54.230000,54.349998,51.220001,51.700001,49.623695,5620757
2022-11-09,51.130001,51.509998,49.549999,50.259998,48.241524,5763390
2022-11-10,50.119999,51.939999,49.930000,51.410000,49.345341,0
2022-11-11,51.230000,51.360001,50.169998,50.189999,48.174335,4270279
2022-11-14,50.169998,51.990002,49.959999,51.320000,49.258953,2890597
2022-11-15,51.500000,53.709999,51.500000,53.419998,51.274616,3906364
2022-11-16,53.400002,53.869999,52.549999,52.619999,50.506744,2573663
2022-11-17,52.770000,52.770000,51.759998,52.529999,50.420361,1647556
2022-11-18,52.790001,53.939999,52.790001,53.790001,51.629761,3460506
2022-11-21,53.480000,54.560001,53.480000,54.400002,52.215263,1821316
2022-11-22,54.290001,55.130001,54.290001,54.610001,52.416828,2067401
2022-11-23,54.959999,55.330002,54.369999,54.490002,52.301647,1862807
2022-11-24,54.500000,55.619999,54.470001,55.509998,53.280682,1744348
2022-11-25,55.650002,55.799999,55.169998,55.450001,53.223091,0
2022-11-28,55.480000,55.910000,55.200001,55.750000,53.511044,1872633
2022-11-29,55.799999,56.389999,55.410000,55.959999,53.712608,1668243
2022-11-30,56.040001,56.250000,55.180000,55.380001,53.155903,4165305
2022-12-01,55.250000,55.570000,54.299999,55.029999,52.819958,1927690
2022-12-02,55.070000,55.259998,54.160000,54.840000,52.637589,2184541
2022-12-05,54.119999,54.180000,53.070000,53.090000,50.957870,3062782
2022-12-06,53.080002,53.349998,52.770000,52.889999,50.765903,1862121
2022-12-07,52.849998,53.070000,52.450001,52.799999,50.679516,1997961
2022-12-08,52.990002,53.009998,52.250000,52.730000,50.612328,2064612
2022-12-09,52.820000,53.049999,52.320000,52.880001,50.756306,1885140
2022-12-12,52.520000,53.009998,52.320000,52.320000,50.218796,1868196
2022-12-13,52.389999,53.200001,52.209999,52.450001,50.343575,2341650
2022-12-14,52.290001,52.380001,51.430000,52.049999,49.959637,3136941
2022-12-15,51.919998,52.270000,50.480000,50.480000,48.452690,3413536
2022-12-16,50.310001,50.380001,48.435001,48.560001,46.609798,9213424
2022-12-19,48.639999,49.090000,48.630001,48.805000,46.844959,2310033
2022-12-20,48.755001,49.485001,48.544998,49.369999,47.387268,2745130
2022-12-21,49.330002,49.630001,48.750000,49.009998,47.041725,2421742
2022-12-22,49.099998,49.360001,48.369999,48.549999,46.600201,1991801
2022-12-23,48.470001,48.810001,48.355000,48.619999,46.667389,1465833
2022-12-27,48.895000,48.965000,48.305000,48.485001,46.537811,1296816
2022-12-28,48.630001,48.980000,48.310001,48.665001,46.710583,1327402
2022-12-29,48.685001,49.235001,48.549999,49.235001,47.257690,1303740
2022-12-30,49.130001,49.279999,48.325001,48.325001,46.384235,1085279
2023-01-02,48.580002,49.509998,48.470001,49.494999,47.507248,1400857
2023-01-03,48.770000,49.814999,48.730000,49.224998,47.248089,2241087
2023-01-04,49.380001,49.755001,49.080002,49.525002,47.536045,3050559
2023-01-05,49.450001,50.380001,49.325001,49.764999,47.766403,2330820
2023-01-06,49.494999,50.570000,49.380001,50.549999,48.519878,2108143
2023-01-09,50.790001,53.320000,50.590000,51.860001,49.777267,4945513
2023-01-10,51.509998,54.450001,51.389999,53.959999,51.792931,5039098
2023-01-11,55.099998,56.279999,54.700001,55.910000,53.664619,5435157
2023-01-12,56.230000,56.840000,55.840000,56.380001,54.115742,3386501
2023-01-13,56.540001,57.799999,56.410000,57.410000,55.104378,3875890
2023-01-16,57.799999,57.869999,57.130001,57.439999,55.133171,1479439
2023-01-17,57.419998,57.689999,56.779999,57.009998,54.720440,2365118
2023-01-18,57.029999,57.130001,56.070000,56.279999,54.019756,2443283
2023-01-19,56.000000,56.790001,55.439999,55.720001,53.482250,2593212
2023-01-20,56.090000,56.480000,55.830002,56.389999,54.125340,2173507
2023-01-23,56.639999,56.680000,55.630001,55.959999,53.712608,1670144
2023-01-24,56.000000,56.020000,55.209999,55.520000,53.290279,1698502
2023-01-25,55.470001,55.689999,55.099998,55.480000,53.251884,1634294
2023-01-26,55.900002,56.259998,55.669998,56.040001,53.789398,1774988
2023-01-27,56.040001,56.040001,56.040001,56.040001,53.789398,0
2023-01-30,56.279999,57.250000,56.279999,56.900002,54.614861,1996770
2023-01-31,56.849998,57.000000,56.029999,57.000000,54.710842,2169496
2023-02-01,57.049999,57.099998,56.259998,56.500000,54.230923,2263612
2023-02-02,56.650002,57.049999,56.090000,56.799999,54.518875,2305919
